fips,state,base,service_branch,zip_code,coordinates,nmc,miles_to_nmc,headcount_below_2000,total_sponsors,total_spouses,children0-5,children6-11,children12-18,children19andup,other_dependents,total_personnel,family_support_center,personal_financial_management,chaplains,morale_welfare_recreation,county,median_contract_rent,total_obligated_amount_sum,geometry,
08041,Colorado,Schriever AFB,Air Force,80912,"38.802568, -104.518953",Colorado Springs,10,Yes,1853,993,671,546,381,74,14,4532,YES,YES,YES,YES,"El Paso County, Colorado",1332,2126609,c(-392797.198734291, -677431.036543889)
08041,Colorado,Peterson AFB,Air Force,80914,"38.824734, -104.704033",Colorado Springs,6,No,3645,2136,1446,1363,1021,229,15,9855,YES,YES,YES,NO,"El Paso County, Colorado",1332,2126609,c(-408734.638714634, -674088.07265038)
08041,Colorado,Fort Carson,Army,80913,"38.735846, -104.787681",Colorado Springs,6,No,24520,13256,9358,6036,3540,617,146,57473,YES,YES,YES,YES,"El Paso County, Colorado",1332,2126609,c(-416527.522949437, -683518.783334175)
06053,California,NAS Monterey/Naval Postgraduate School,Navy,93943,"36.596812, -121.874274",Monterey,0,Yes,871,531,401,255,114,35,3,2210,NO,NO,NO,YES,"Monterey County, California",1730,1629250,c(-1934939.88623947, -678675.890996383)
06053,California,Presidio of Monterey,Army,93944,"36.605334, -121.911706",Monterey,0,No,4132,1275,778,521,243,53,20,7022,YES,YES,YES,YES,"Monterey County, California",1730,1629250,c(-1937931.38631569, -676884.868833938)
51149,Virginia,Fort Lee,Army,23801,"37.247420, -77.334919",Petersburg,3,No,8469,3041,2028,1998,1812,363,74,17785,NO,NO,NO,NO,"Prince George County, Virginia",1356,1588521,c(1984953.20519407, -589633.61550196)
48439,Texas,NAS JRB Fort Worth,Navy,76127,"32.768604, -97.433553",Fort Worth,0,Yes,934,514,334,297,197,30,0,2306,YES,YES,YES,YES,"Tarrant County, Texas",1169,1393946,c(241774.065944663, -1351824.7119966)
42101,Pennsylvania,"Defense Supply Ctr
Philadelphia",DOD,19111,"39.91680, -75.18156",Philadelphia,0,Yes,335,220,152,145,111,22,2,987,YES,NO,NO,NO,"Philadelphia County, Pennsylvania",1042,1322083,c(2084445.82504849, -248534.399434971)
01089,Alabama,Redstone Arsenal,Army,35898,"34.690118, -86.650127",Huntsville,1,Yes,588,475,210,340,365,120,8,2106,YES,YES,YES,YES,"Madison County, Alabama",852,1195930,c(1221790.58582227, -1047104.36265348)
24031,District of Columbia,Walter Reed Army Medical Center,Army,20307,"39.000774, -77.094052",Washington D.C.,0,Yes,266,178,156,109,63,12,4,788,NO,NO,NO,NO,"Montgomery County, Maryland",1823,1028383,c(1955695.9468758, -394256.044181616)
25017,Massachusetts,Hanscom AFB,Air Force,1731,"42.456877, -71.274214",Boston,20,Yes,833,418,236,259,175,32,4,1957,YES,YES,YES,YES,"Middlesex County, Massachusetts",1837,1022586,c(2303016.75096535, 128366.965667432)
51650,Virginia,Langley AFB,Air Force,23665,"37.080312, -76.356976",Hampton Roads,2,No,7243,3424,2378,1944,1477,284,42,16792,YES,YES,YES,YES,"Hampton city, Virginia",1067,658777,c(2072622.4348235, -583868.38673042)
42041,Pennsylvania,"Navy Ships Parts
Control Center",Navy,17055,"40.22814, -76.98632",Harrisburg,10,Yes,156,108,52,75,78,13,1,483,NO,NO,NO,NO,"Cumberland County, Pennsylvania",977,395820,c(1928881.1427371, -259054.870160531)
42041,Pennsylvania,Carlisle Barracks,Army,17013,"40.21030, -77.17406",Harrisburg,18,Yes,503,427,136,326,375,133,3,1903,YES,YES,YES,YES,"Cumberland County, Pennsylvania",977,395820,c(1914171.82600085, -265373.401430277)
01101,Alabama,Maxwell AFB (Incl. Gunter),Air Force,36112,"32.381737, -86.359191",Montgomery,2,No,3012,1794,1421,1182,741,181,17,8348,YES,YES,YES,YES,"Montgomery County, Alabama",761,349678,c(1284461.00768156, -1295857.70637189)
12091,Florida,Eglin AFB,Air Force,32542,"30.462056, -86.551794",Pensacola,40,No,9243,4759,3498,2630,1612,261,33,22036,YES,YES,YES,YES,"Okaloosa County, Florida",1179,345554,c(1295236.82554354, -1508796.96522868)
12091,Florida,Hurlburt Field,Air Force,32544,"30.417722, -86.692328",Pensacola,35,No,8185,3968,2826,2163,1368,238,34,18782,YES,YES,YES,YES,"Okaloosa County, Florida",1179,345554,c(1282478.76128926, -1515737.67814053)
34025,New Jersey,Earle NAVWEAPSTA,Navy,7722,"40.264954, -74.161471",Newark,50,Yes,370,206,128,103,65,9,0,881,YES,YES,YES,YES,"Monmouth County, New Jersey",1507,205849,c(2155230.64976552, -184762.716864311)
51700,Virginia,Fort Eustis,Army,23604,"37.156755, -76.578199",Newport News,13,No,5645,2926,2008,1768,1422,319,47,14135,YES,YES,YES,YES,"Newport News city, Virginia",1023,180176,c(2051684.28884434, -581091.745173512)
53053,Washington,Fort Lewis,Army,98433,"47.088753, -122.602572",Tacoma,12,No,26512,14034,9944,6774,4407,884,276,62831,NO,NO,YES,YES,"Pierce County, Washington",1437,179427,c(-1688106.88315072, 472084.552399684)
53053,Washington,McChord AFB,Air Force,98438,"47.088753, -122.602572",Tacoma,9,No,2941,1474,978,679,428,62,13,6575,YES,YES,YES,YES,"Pierce County, Washington",1437,179427,c(-1688106.88315072, 472084.552399684)
13245,Georgia,Fort Eisenhower,Army,30905,"33.414039, -82.138449",Augusta,12,No,11220,5135,3653,2956,2153,426,93,25636,YES,YES,YES,YES,"Richmond County, Georgia",803,51638,c(1654611.41270637, -1110355.55580648)
06111,California,Pt Mugu NAS,Navy,93042,"34.115783, -119.088213",Oxnard,7,Yes,1372,672,460,380,225,34,4,3147,NO,YES,YES,YES,"Ventura County, California",2014,50284,c(-1750399.85006162, -1009302.38110278)
06111,California,Port Hueneme NCBC,Navy,93043,"34.168520, -119.201604",Los Angeles,60,No,3264,1587,1004,731,525,99,7,7217,NO,YES,YES,YES,"Ventura County, California",2014,50284,c(-1759400.25606688, -1001212.54262276)
21093,Kentucky,Fort Knox,Army,40121,"37.884155, -85.968701",Louisville,25,No,4842,2361,1563,1592,1236,295,41,11930,YES,YES,YES,YES,"Hardin County, Kentucky",739,50124,c(1229423.38301269, -686564.328490322)
26099,Michigan,Detroit Arsenal,Army,48092,"42.491993, -83.038632",Warren,0,Yes,127,100,56,94,73,28,2,480,YES,YES,YES,YES,"Macomb County, Michigan",944,44434,c(1382294.89279569, -134996.855696345)
13095,Georgia,Albany MCLB,Marine Corps,31704,"31.550719, -84.064083",Albany,3,Yes,318,205,135,144,98,17,2,889,YES,YES,NO,YES,"Dougherty County, Georgia",625,40310,c(1512601.49630674, -1349329.80419399)
24025,Maryland,Aberdeen Proving Ground,Army,21005,"39.463803, -76.127823",Baltimore,23,Yes,831,588,331,366,422,115,19,2672,YES,YES,YES,YES,"Harford County, Maryland",1290,40236,c(2021498.06834012, -320956.708379598)
50007,Vermont,Burlington IAP-AGS,Air Force,05403,"44.473397, -73.146340",Albany,151,Yes,113,56,42,35,17,2,1,266,NO,NO,NO,NO,"Chittenden County, Vermont",1358,31178,c(2088030.56685807, 291926.24042261)
48141,Texas,Fort Bliss,Army,79916,"31.881271, -106.327022",El Paso,0,No,26100,13001,8912,6391,4715,988,200,60307,YES,NO,NO,YES,"El Paso County, Texas",829,27365,c(-601712.46567955, -1431173.08707946)
48465,Texas,Laughlin AFB,Air Force,78843,"29.357828, -100.785227",Del Rio,6,Yes,1388,595,358,193,101,18,2,2655,NO,NO,YES,NO,"Val Verde County, Texas",717,20644,c(-76900.7632431551, -1730540.83982937)
20061,Kansas,Fort Riley,Army,66442,"39.048742, -96.771804",Topeka,50,No,15214,7023,5148,3389,2076,376,69,33295,YES,YES,YES,YES,"Geary County, Kansas",891,19408,c(279746.662342335, -655353.430128325)
04003,Arizona,Fort Huachuca,Army,85613,"31.554921, -110.349258",Tucson,75,No,4139,1830,1217,1107,821,170,18,9302,YES,YES,YES,YES,"Cochise County, Arizona",731,18363,c(-986215.64648236, -1429997.14897883)
12095,Florida,NSA Orlando,Navy,32826,"28.584035, -81.197681",Orlando,0,Yes,163,123,79,74,60,4,0,503,YES,NO,NO,YES,"Orange County, Florida",1364,14422,c(1840322.06032843, -1616722.91437864)
28059,Mississippi,Pascagoula NAVSTA,Navy,39595,"30.336758, -88.576686","Mobile, AL",30,Yes,644,388,240,210,140,31,0,1653,NO,NO,NO,NO,"Jackson County, Mississippi",806,11037,c(1103295.59456549, -1550554.0514345)
39049,Ohio,Columbus Def Depot,Army,43216,"39.972667, -82.893862",Columbus,0,Yes,198,133,101,100,61,8,1,602,NO,NO,NO,YES,"Franklin County, Ohio",976,8050,c(1449766.12926338, -408038.078199937)
39049,Ohio,Navy Finance Center,Navy,44199,"39.977277, -82.913527",Cleveland,0,Yes,224,174,114,113,80,15,2,722,NO,NO,NO,NO,"Franklin County, Ohio",976,8050,c(1448028.77286906, -407878.694343161)
37051,North Carolina,Pope AFB,Air Force,28308,"35.171396, -79.017544",Fayetteville,12,Yes,1568,891,726,500,213,35,1,3934,YES,YES,YES,YES,"Cumberland County, North Carolina",855,7960,c(1894002.29810949, -853655.721886895)
37051,North Carolina,Fort Bragg,Army,28307,"35.153460, -78.982483",Fayetteville,10,No,45055,23868,17089,12737,8413,1651,288,109101,NO,NO,NO,NO,"Cumberland County, North Carolina",855,7960,c(1897531.9374995, -854813.087075831)
35009,New Mexico,Cannon AFB,Air Force,88103,"34.389156, -103.318320",Clovis,7,No,4633,1796,1248,787,457,58,7,8986,YES,YES,YES,YES,"Curry County, New Mexico",792,5625,c(-306272.631428213, -1170585.33438494)
40109,Oklahoma,Tinker AFB,Air Force,73145,"35.417773, -97.402028",Oklahoma City,12,No,6164,3036,2048,1524,1006,159,14,13951,YES,YES,YES,NO,"Oklahoma County, Oklahoma",814,2950,c(236723.168597494, -1059230.20709024)
06071,California,Fort Irwin,Army,92310,"35.261947, -116.687581",San Bernardino,70,No,4130,2227,1572,1189,783,160,36,10097,YES,NO,YES,YES,"San Bernardino County, California",1384,2800,c(-1511538.12056684, -930555.983395299)
06071,California,29 Palms MC Air/Ground Combat Center,Marine Corps,92278,"34.233798, -116.056062",Palm Springs,60,No,9490,2915,1805,1085,661,112,4,NA,YES,YES,YES,NO,"San Bernardino County, California",1384,2800,c(-1474622.91376422, -1054093.01669174)
20103,Kansas,Fort Leavenworth,Army,66027,"39.355935, -94.924833",Kansas City,30,No,3438,2413,1882,1596,1238,304,37,10908,YES,YES,YES,YES,"Leavenworth County, Kansas",866,1373,c(437611.156890912, -613370.688127068)
27053,Minnesota,Fort Snelling,Army,55111,"44.894991, -93.199064",Minneapolis,0,Yes,262,181,156,123,67,10,0,799,NO,NO,NO,NO,"Hennepin County, Minnesota",1268,650,c(536456.781937689, 10785.9458748102)
