"fips","state","base","service_branch","zip_code","coordinates","nmc","miles_to_nmc","headcount_below_2000","total_sponsors","total_spouses","children0-5","children6-11","children12-18","children19andup","other_dependents","total_personnel","family_support_center","personal_financial_management","chaplains","morale_welfare_recreation","county","median_contract_rent","geometry"
"12009","Florida","Patrick AFB","Air Force","32925","28.235950, -80.606181","Orlando",45,"Yes",1733,935,599,534,419,59,"4","4283","NO","YES","NO","YES","Brevard County, Florida",1166,c(1904173.16095544, -1641758.20272676)
"06051","California","USMC Mountain Warfare Training","Marine Corps","93517","38.357869, -119.513997","Sacramento",100,"Yes",251,142,109,60,29,2,"0","593","NO","NO","YES","YES","Mono County, California",1119,c(-1688970.12901506, -538665.569895255)
"12031","Florida","Blount Island","Marine Corps","32226","30.398777, -81.533959","Jacksonville",0,"Yes",133,85,63,47,41,11,"0","380","NO","NO","NO","NO","Duval County, Florida",1108,c(1771997.72934429, -1426581.39829897)
"12005","Florida","Tyndall AFB","Air Force","32403","30.081332, -85.612716","Panama City",12,"Yes",1633,792,507,433,294,55,"8","3722","NO","YES","YES","YES","Bay County, Florida",1105,c(1390662.6258067, -1535831.47780386)
"12005","Florida","Nav Coastal Systems Ctr","Navy","32407","30.175843, -85.758538","Panama City",0,"Yes",615,337,223,166,122,29,"0","1492","YES","YES","YES","NO","Bay County, Florida",1105,c(1375260.66016989, -1527838.05826952)
"23031","New Hampshire","Portsmouth Naval Shipyard","Navy","3804","43.080329, -70.740040","Portsmouth",0,"Yes",959,466,268,213,133,24,"1","2064","YES","YES","YES","YES","York County, Maine",1049,c(2319515.59427308, 209770.705403339)
"36001","New York","Watervliet Arsenal","Army","12189","42.715854, -73.705039","Troy",1,"Yes",132,103,70,55,21,6,"0","387","NO","NO","NO","NO","Albany County, New York",1046,c(2108155.39563975, 89735.7731294097)
"42101","Pennsylvania","Defense Supply Ctr
Philadelphia","DOD","19111","39.91680, -75.18156","Philadelphia",0,"Yes",335,220,152,145,111,22,"2","987","YES","NO","NO","NO","Philadelphia County, Pennsylvania",1042,c(2084445.82504849, -248534.399434971)
"51710","Virginia","Norfolk Endist","Navy","23502","36.937904, -76.319023","Norfolk",6,"Yes",268,186,91,131,146,37,"4","863","YES","YES","YES","NO","Norfolk city, Virginia",1005,c(2079941.15300767, -598299.741353099)
"51710","Virginia","Norfolk Naval Safety Center","Navy","23511","36.949188, -76.268761","Norfolk",0,"Yes",323,164,107,114,88,11,"1","808","NO","NO","NO","NO","Norfolk city, Virginia",1005,c(2083882.50853492, -595825.121440684)
