"fips","state","base","service_branch","zip_code","coordinates","nmc","miles_to_nmc","headcount_below_2000","total_sponsors","total_spouses","children0-5","children6-11","children12-18","children19andup","other_dependents","total_personnel","family_support_center","personal_financial_management","chaplains","morale_welfare_recreation","county","median_contract_rent","geometry"
"24003","Maryland","Fort George G. Meade","Army","20755","39.097834, -76.729242","Baltimore",15,"No",11140,5497,3731,3103,2096,385,"93","26041","YES","YES","YES","YES","Anne Arundel County, Maryland",1733,c(1982994.09278976, -375066.028060433)
"06053","California","NAS Monterey/Naval Postgraduate School","Navy","93943","36.596812, -121.874274","Monterey",0,"Yes",871,531,401,255,114,35,"3","2210","NO","NO","NO","YES","Monterey County, California",1730,c(-1934939.88623947, -678675.890996383)
"06053","California","Presidio of Monterey","Army","93944","36.605334, -121.911706","Monterey",0,"No",4132,1275,778,521,243,53,"20","7022","YES","YES","YES","YES","Monterey County, California",1730,c(-1937931.38631569, -676884.868833938)
"11001","District of Columbia","Joint Base Anacostia-Bolling","DOD","20332","38.841156, -77.018236","Washington D.C.",0,"No",2491,1344,860,780,529,124,"17","6145","YES","NO","YES","YES","District of Columbia, District of Columbia",1727,c(1966554.1839342, -409713.276796573)
"11001","District of Columbia","Marine Barracks, Washington D.C.","Marine Corps","20390","38.879906, -76.994405","Washington D.C.",0,"Yes",1424,669,406,374,262,57,"6","3198","NO","NO","NO","NO","District of Columbia, District of Columbia",1727,c(1967412.93964304, -404957.207053683)
"11001","District of Columbia","Fort Lesley J McNair","Army","20319","38.868233, -77.014071","Washington D.C.",0,"Yes",975,724,328,555,583,193,"8","3366","YES","NO","NO","NO","District of Columbia, District of Columbia",1727,c(1966120.73678652, -406687.065039516)
"11001","Virginia","Headquarters, Marine Corps","Marine Corps","22214","38.879493, -76.994518","Washington D.C.",1,"Yes",171,91,72,32,35,8,"0","409","NO","NO","NO","NO","District of Columbia, District of Columbia",1727,c(1967415.47386443, -405004.541552903)
"11001","District of Columbia","Washington NAVDIST HQ","Navy","20374","38.871753, -76.993823","Washington D.C.",0,"No",3100,1949,1144,1105,989,230,"18","8535","YES","YES","YES","YES","District of Columbia, District of Columbia",1727,c(1967695.77861171, -405824.672808824)
"12087","Florida","Key West NAS","Navy","33040","24.568068, -81.768698","Miami",150,"Yes",797,423,255,158,112,38,"0","1783","YES","YES","YES","YES","Monroe County, Florida",1725,c(1859937.48978353, -2063977.46911093)
"34027","New Jersey","Picatinny Arsenal","Army","7806","40.943249, -74.567258","Newark",30,"Yes",129,99,85,73,48,14,"2","450","YES","YES","YES","NO","Morris County, New Jersey",1692,c(2100651.76670159, -122523.869016139)
"06037","California","Los Angeles AFB","Air Force","90245","33.918366, -118.382831","Los Angeles",10,"Yes",1435,786,489,449,282,59,"10","3510","YES","YES","YES","YES","Los Angeles County, California",1666,c(-1691206.89233398, -1045121.72185606)
"24017","Maryland","Indian Head NAV ORD STA","Navy","20640","38.600002, -77.169908","Washington D.C.",25,"Yes",584,257,149,121,80,12,"1","1204","YES","YES","NO","YES","Charles County, Maryland",1664,c(1960859.94322693, -439389.410212151)
"53061","Washington","Naval Station Everett","Navy","98207","47.989971, -122.218391","Seattle",25,"No",2576,1182,720,516,374,54,"0","5422","YES","YES","YES","NO","Snohomish County, Washington",1661,c(-1632209.55452794, 561160.369228845)
"36047","New York","Fort Hamilton","Army","11252","40.608516, -74.027896","New York",0,"Yes",211,143,105,114,59,7,"6","645","YES","YES","YES","YES","Kings County, New York",1592,c(2154508.09827092, -144398.369076594)
"08005","Colorado","Buckley AFB","Air Force","80011","39.705205, -104.760162","Aurora",0,"No",2540,1285,842,580,346,46,"7","5646","YES","YES","YES","YES","Arapahoe County, Colorado",1577,c(-408309.770560989, -576278.112645005)
"24033","Maryland","Andrews AFB","Air Force","20762","38.800918, -76.881770","Washington D.C.",10,"No",4312,2171,1563,1136,720,144,"26","10072","YES","YES","YES","YES","Prince George's County, Maryland",1567,c(1979017.06398419, -410805.644533169)
"51199","Virginia","Yorktown Navy Weapon Station","Navy","23691","37.235462, -76.549474","Newport News",2,"Yes",1311,554,345,295,182,26,"3","2716","YES","YES","YES","YES","York County, Virginia",1548,c(2051866.08510653, -571880.663515613)
"34025","New Jersey","Earle NAVWEAPSTA","Navy","7722","40.264954, -74.161471","Newark",50,"Yes",370,206,128,103,65,9,"0","881","YES","YES","YES","YES","Monmouth County, New Jersey",1507,c(2155230.64976552, -184762.716864311)
"06065","California","March AFB","Air Force","92518","33.891678, -117.260703","San Bernardino",21,"Yes",324,192,165,113,62,9,"1","866","YES","YES","YES","YES","Riverside County, California",1497,c(-1590315.58115163, -1069722.29540473)
"53035","Washington","Naval Base Kitsap-Bangor","Navy","98315","47.697844, -122.696439","Bremerton",16,"No",5845,2986,1929,1392,882,132,"4","13170","YES","YES","YES","YES","Kitsap County, Washington",1477,c(-1675488.45066463, 539642.018387691)
"53035","Washington","Naval Base Kitsap-Bremerton","Navy","98337","47.562456, -122.649711","Bremerton",0,"No",6892,2694,1619,1157,769,142,"5","13278","YES","YES","YES","YES","Kitsap County, Washington",1477,c(-1676470.66243086, 524086.221495931)
"53035","Washington","Naval Hospital Bremerton","Navy","98312","47.594805, -122.691606","Bremerton",1,"Yes",716,339,240,176,132,23,"1","1627","NO","NO","NO","NO","Kitsap County, Washington",1477,c(-1678433.81348303, 528450.715136914)
"12086","Florida","Homestead AFB","Air Force","33039","25.489200, -80.391105","Homestead",9,"Yes",429,251,150,162,128,23,"4","1147","NO","NO","NO","NO","Miami-Dade County, Florida",1458,c(1979965.90345248, -1934438.268636)
"12086","Florida","Southern Command","Army","33172","25.806739, -80.347824","Miami",0,"Yes",1370,820,450,447,390,100,"19","3596","NO","NO","NO","YES","Miami-Dade County, Florida",1458,c(1978014.09409928, -1899127.01234279)
"24021","Maryland","Fort Detrick","Army","21702","39.435302, -77.427446","Baltimore/Washington D.C.",50,"Yes",991,649,400,387,344,82,"11","2864","YES","YES","YES","YES","Frederick County, Maryland",1455,c(1915783.89372999, -355079.075554456)
"34029","New Jersey","(C4) Lakehurst Naval Air Engineering Center","Navy","8733","40.029751, -74.314803","Philadelphia, PA",57,"Yes",274,162,116,93,72,14,"0","731","YES","YES","YES","YES","Ocean County, New Jersey",1444,c(2150653.01841325, -214030.455963928)
"53053","Washington","Fort Lewis","Army","98433","47.088753, -122.602572","Tacoma",12,"No",26512,14034,9944,6774,4407,884,"276","62831","NO","NO","YES","YES","Pierce County, Washington",1437,c(-1688106.88315072, 472084.552399684)
"53053","Washington","McChord AFB","Air Force","98438","47.088753, -122.602572","Tacoma",9,"No",2941,1474,978,679,428,62,"13","6575","YES","YES","YES","YES","Pierce County, Washington",1437,c(-1688106.88315072, 472084.552399684)
"06067","California","(C2) Sacramento Army Depot","Army","95828","38.524586, -121.395982","Sacramento",0,"Yes",316,249,245,154,49,11,"6","1030","NO","NO","NO","NO","Sacramento County, California",1417,c(-1843151.48575018, -480492.275042649)
"24037","Maryland","Patuxent River NAS","Navy","20670","38.276505, -76.439963","Washington D.C.",65,"No",2267,1501,1005,868,641,132,"3","6417","YES","YES","YES","YES","St. Mary's County, Maryland",1409,c(2030954.65714032, -456750.045512097)
"44005","Rhode Island","Naval Station Newport","Navy","2841","41.51687, -71.31995","Newport",0,"No",3269,1453,927,815,581,139,"7","7191","YES","YES","YES","YES","Newport County, Rhode Island",1396,c(2334672.3028711, 27196.4504864295)
"34005","New Jersey","McGuire AFB","Air Force","8641","40.034347, -74.590040","Trenton",18,"No",4510,2090,1418,993,620,106,"18","9755","YES","YES","YES","YES","Burlington County, New Jersey",1387,c(2128382.19991083, -220716.634890633)
"06071","California","29 Palms MC Air/Ground Combat Center","Marine Corps","92278","34.233798, -116.056062","Palm Springs",60,"No",9490,2915,1805,1085,661,112,"4",NA,"YES","YES","YES","NO","San Bernardino County, California",1384,c(-1474622.91376422, -1054093.01669174)
"06071","California","Fort Irwin","Army","92310","35.261947, -116.687581","San Bernardino",70,"No",4130,2227,1572,1189,783,160,"36","10097","YES","NO","YES","YES","San Bernardino County, California",1384,c(-1511538.12056684, -930555.983395299)
"12095","Florida","NSA Orlando","Navy","32826","28.584035, -81.197681","Orlando",0,"Yes",163,123,79,74,60,4,"0","503","YES","NO","NO","YES","Orange County, Florida",1364,c(1840322.06032843, -1616722.91437864)
"51810","Virginia","Dam Neck Training Center Atlantic","Navy","23461","36.780247, -75.958299","Virgnia Beach",4,"No",3838,2146,1593,1242,743,131,"4","9697","YES","YES","YES","YES","Virginia Beach city, Virginia",1364,c(2115142.70929991, -606235.433158468)
"51810","Virginia","Oceana NAS","Navy","23460","36.811314, -76.028177","Virginia Beach",0,"No",5711,2490,1864,1341,890,158,"12","12466","YES","YES","YES","YES","Virginia Beach city, Virginia",1364,c(2108302.28881208, -604654.04381657)
"51810","Virginia","Little Creek Nav Amphib Base","Navy","23521","36.915579, -76.190733","Norfolk",0,"Yes",1045,380,213,170,109,15,"0","1932","YES","YES","YES","YES","Virginia Beach city, Virginia",1364,c(2091475.81468668, -597497.847976152)
"51810","Virginia","Fort Story","Army","23459","36.922038, -76.000285","Virgnia Beach",3,"No",8790,4642,3435,2691,1842,329,"10","21739","YES","YES","YES","YES","Virginia Beach city, Virginia",1364,c(2107445.84264682, -592000.142327913)
"53029","Washington","Whidbey Island NAS","Navy","98278","48.347180, -122.659006","Seattle",80,"No",7304,3344,2240,1571,981,162,"8","15610","YES","YES","YES","YES","Island County, Washington",1363,c(-1652020.39876807, 608721.046653129)
"25023","Massachusetts","(C4) South Weymouth NAS","Navy","2190","42.149370, -70.943139","Boston",0,"Yes",426,265,195,153,83,24,"0","1146","NO","NO","NO","NO","Plymouth County, Massachusetts",1359,c(2339828.85313706, 105226.234899501)
"50007","Vermont","Burlington IAP-AGS","Air Force","05403","44.473397, -73.146340","Albany",151,"Yes",113,56,42,35,17,2,"1","266","NO","NO","NO","NO","Chittenden County, Vermont",1358,c(2088030.56685807, 291926.24042261)
"51149","Virginia","Fort Lee","Army","23801","37.247420, -77.334919","Petersburg",3,"No",8469,3041,2028,1998,1812,363,"74","17785","NO","NO","NO","NO","Prince George County, Virginia",1356,c(1984953.20519407, -589633.61550196)
